Trade_ID,Type,Entry_Time,Exit_Time,Duration_Seconds,Entry_Price,Exit_Price,Exit_Reason,Entry_Confidence,PnL,Return_Pct,Cumulative_PnL,Win,Peak_PnL,Drawdown
1,SHORT,2026-01-15 00:21:01,2026-01-15 00:25:03,242.0,96678.17,96890.23,STOP_LOSS,0.6019,-2.19,-0.21934631158202275,-2.19,False,-2.19,0.0
2,LONG,2026-01-15 00:31:06,2026-01-15 00:32:16,70.0,96733.23,96708.34,AI_FLIP_SELL,0.6315,-0.26,-0.025730558154627336,-2.45,False,-2.19,-0.26000000000000023
3,LONG,2026-01-15 00:35:02,2026-01-15 00:39:08,246.0,96837.02,96821.91,AI_FLIP_SELL,0.6002,-0.16,-0.015603536746587805,-2.6100000000000003,False,-2.19,-0.4200000000000004
4,LONG,2026-01-15 00:39:27,2026-01-15 00:42:10,163.0,96860.56,96918.93,AI_FLIP_SELL,0.6007,0.6,0.06026188574585502,-2.0100000000000002,True,-2.0100000000000002,0.0
5,LONG,2026-01-15 00:45:22,2026-01-15 00:56:03,641.0,97009.99,97320.68,AI_FLIP_SELL,0.602,3.2,0.3202659849774108,1.19,True,1.19,0.0
6,LONG,2026-01-15 00:56:34,2026-01-15 00:59:15,161.0,97315.28,97431.64,AI_FLIP_SELL,0.6048,1.2,0.1195701230063774,2.3899999999999997,True,2.3899999999999997,0.0
7,SHORT,2026-01-15 01:08:08,2026-01-15 01:10:13,125.0,97165.67,97418.45,STOP_LOSS,0.6036,-2.6,-0.26015361186723546,-0.2100000000000004,False,2.3899999999999997,-2.6
8,LONG,2026-01-15 01:16:49,2026-01-15 01:18:13,84.0,97412.39,97414.38,AI_FLIP_SELL,0.6008,0.02,0.002042861282846298,-0.19000000000000042,True,2.3899999999999997,-2.58
9,LONG,2026-01-15 01:18:54,2026-01-15 01:23:30,276.0,97386.57,97342.76,AI_FLIP_SELL,0.606,-0.45,-0.044985668968536646,-0.6400000000000005,False,2.3899999999999997,-3.0300000000000002
10,LONG,2026-01-15 01:24:09,2026-01-15 01:25:12,63.0,97316.42,97285.21,AI_FLIP_SELL,0.6005,-0.32,-0.03207064131622582,-0.9600000000000004,False,2.3899999999999997,-3.35
11,LONG,2026-01-15 01:29:01,2026-01-15 01:35:02,361.0,97279.48,97289.99,AI_FLIP_SELL,0.6022,0.11,0.010803922882821037,-0.8500000000000004,True,2.3899999999999997,-3.24
12,LONG,2026-01-15 01:35:19,2026-01-15 01:41:02,343.0,97332.0,97722.26,TAKE_PROFIT,0.6079,4.01,0.40095754736365713,3.1599999999999993,True,3.1599999999999993,0.0
13,LONG,2026-01-15 01:42:20,2026-01-15 01:43:30,70.0,97718.22,97665.35,AI_FLIP_SELL,0.612,-0.54,-0.0541045467262864,2.619999999999999,False,3.1599999999999993,-0.54
14,LONG,2026-01-15 01:43:35,2026-01-15 01:45:14,99.0,97700.0,97582.04,AI_FLIP_SELL,0.6065,-1.21,-0.12073694984647534,1.4099999999999993,False,3.1599999999999993,-1.75
15,SHORT,2026-01-15 01:46:11,2026-01-15 01:47:53,102.0,97516.88,97455.59,AI_FLIP_BUY,0.6133,0.63,0.0628506572400677,2.039999999999999,True,3.1599999999999993,-1.12
16,LONG,2026-01-15 01:48:43,2026-01-15 01:57:13,510.0,97528.51,97438.93,AI_FLIP_SELL,0.6021,-0.92,-0.09185006517581551,1.1199999999999992,False,3.1599999999999993,-2.04
